Timestamp for sample frequency every 15 min,Temperature_Fahrenheit,Relative_Humidity
2020-11-28 18:42:00,49.28,82.67
2020-11-28 18:57:00,47.77,84.13
2020-11-28 19:12:00,47.21,89.06
2020-11-28 19:27:00,46.4,86.37
2020-11-28 19:42:00,45.86,86.9
2020-11-28 19:57:00,45.19,89.88
2020-11-28 20:12:00,44.47,89.38
2020-11-28 20:27:00,44.15,91.72
2020-11-28 20:42:00,43.97,90.55
2020-11-28 20:57:00,43.18,92.1
2020-11-28 21:12:00,42.62,91.21
2020-11-28 21:27:00,42.26,92.95
2020-11-28 21:42:00,41.94,93.2
2020-11-28 21:57:00,41.61,93.86
2020-11-28 22:12:00,41.5,94.99
2020-11-28 22:27:00,41.11,95.28
2020-11-28 22:42:00,40.95,96.5
2020-11-28 22:57:00,40.6,95.03
2020-11-28 23:12:00,40.33,95.63
2020-11-28 23:27:00,40.06,95.85
2020-11-28 23:42:00,39.96,95.78
2020-11-28 23:57:00,39.65,96.19
2020-11-29 00:12:00,39.6,97.45
2020-11-29 00:27:00,39.38,96.18
2020-11-29 00:42:00,39,95.85
2020-11-29 00:57:00,38.66,96.7
2020-11-29 01:12:00,38.59,96.22
2020-11-29 01:27:00,38.46,97.88
2020-11-29 01:42:00,38.28,97.16
2020-11-29 01:57:00,38.26,96.49
2020-11-29 02:12:00,37.9,97.01
2020-11-29 02:27:00,37.67,97.66
2020-11-29 02:57:00,37.36,97.3
2020-11-29 03:12:00,37.42,97.76
2020-11-29 03:27:00,37.53,97.55
2020-11-29 03:42:00,37.44,97.99
2020-11-29 03:57:00,37.26,98.37
2020-11-29 04:12:00,37.35,98.11
2020-11-29 04:27:00,37.26,98.64
2020-11-29 04:42:00,37.15,97.67
2020-11-29 04:57:00,37.02,97.44
2020-11-29 05:27:00,37.67,98.91
2020-11-29 05:42:00,37.9,98.89
2020-11-29 05:57:00,37.81,98.52
2020-11-29 06:12:00,37.92,98.46
2020-11-29 06:27:00,38.1,99.03
2020-11-29 06:42:00,38.03,98.23
2020-11-29 06:57:00,37.87,98.91
2020-11-29 07:12:00,37.42,98.57
2020-11-29 07:27:00,37.44,98.64
2020-11-29 07:42:00,37.72,98.78
2020-11-29 07:57:00,38.34,99.21
2020-11-29 08:12:00,39.29,99.59
2020-11-29 08:27:00,40.21,99.26
2020-11-29 08:42:00,41.5,98.79
2020-11-29 08:57:00,42.98,97.98
2020-11-29 09:12:00,44.46,97.64
2020-11-29 09:27:00,46.35,85.18
2020-11-29 09:42:00,47.98,81.49
2020-11-29 09:57:00,49.96,79.07
2020-11-29 10:12:00,52.32,72.18
2020-11-29 10:27:00,54.48,69.08
2020-11-29 10:42:00,55.11,65.81
2020-11-29 10:57:00,56.88,62.5
2020-11-29 11:12:00,57.43,64.23
2020-11-29 11:27:00,58.21,60.94
2020-11-29 11:42:00,58.06,64.61
2020-11-29 11:57:00,58.62,64.71
2020-11-29 12:12:00,58.35,61.53
2020-11-29 12:27:00,58.21,64.09
2020-11-29 12:42:00,57.9,62.06
2020-11-29 12:57:00,57.72,62.14
2020-11-29 13:12:00,59.49,63.85
2020-11-29 13:27:00,60.66,61.31
2020-11-29 13:42:00,60.6,61.87
2020-11-29 13:57:00,60.42,62.72
2020-11-29 14:12:00,60.58,61.71
2020-11-29 14:27:00,60.46,62.21
2020-11-29 14:42:00,60.08,63.86
2020-11-29 14:57:00,59.74,63.89
2020-11-29 15:12:00,59.72,65.62
2020-11-29 15:27:00,59.13,66.42
2020-11-29 15:42:00,58.57,67.13
2020-11-29 15:57:00,58.32,67.52
2020-11-29 16:12:00,57.94,68.49
2020-11-29 16:27:00,57.81,69.92
2020-11-29 16:42:00,57.45,70.79
2020-11-29 16:57:00,57.33,71.83
2020-11-29 17:12:00,57.18,72.19
2020-11-29 17:27:00,56.95,73.05
2020-11-29 17:42:00,56.79,73.37
2020-11-29 17:57:00,56.53,72.26
2020-11-29 18:12:00,56.34,72.8
2020-11-29 18:27:00,55.92,73.61
2020-11-29 18:42:00,55.74,74.15
2020-11-29 18:57:00,54.75,79.84
2020-11-29 19:12:00,54,85.29
2020-11-29 19:27:00,53.64,87
2020-11-29 19:42:00,52.5,92.91
2020-11-29 19:57:00,52.29,93.41
2020-11-29 20:12:00,51.96,93.62
2020-11-29 20:27:00,51.91,93.79
2020-11-29 20:42:00,51.75,96.82
2020-11-29 20:57:00,51.66,98.02
2020-11-29 21:12:00,51.33,98.19
2020-11-29 21:27:00,51.39,98.24
2020-11-29 21:42:00,51.08,97.59
2020-11-29 21:57:00,50.9,97.17
2020-11-29 22:12:00,50.86,96.29
2020-11-29 22:27:00,50.7,95.23
2020-11-29 22:42:00,50.61,94.53
2020-11-29 22:57:00,50.47,94.57
2020-11-29 23:12:00,50.22,94.65
2020-11-29 23:27:00,50.02,94.68
2020-11-29 23:42:00,49.6,94.67
2020-11-29 23:57:00,49.8,94.74
2020-11-30 00:12:00,49.44,94.84
2020-11-30 00:27:00,49.53,94.86
2020-11-30 00:42:00,49.35,94.77
2020-11-30 00:57:00,49.23,94.81
2020-11-30 01:12:00,48.99,94.79
2020-11-30 01:27:00,49.05,94.92
2020-11-30 01:42:00,49.17,95.9
2020-11-30 01:57:00,49.12,96.21
2020-11-30 02:12:00,49.06,96.34
2020-11-30 02:27:00,48.92,96.35
2020-11-30 02:57:00,48.97,96.53
2020-11-30 03:12:00,48.88,96.59
2020-11-30 03:27:00,48.94,96.55
2020-11-30 03:42:00,49.01,96.56
2020-11-30 03:57:00,49.01,96.58
2020-11-30 04:12:00,49.01,96.57
2020-11-30 04:27:00,48.92,96.62
2020-11-30 04:42:00,48.81,96.75
2020-11-30 04:57:00,48.74,96.87
2020-11-30 05:12:00,48.38,97
2020-11-30 05:27:00,48.36,97.17
2020-11-30 05:42:00,48.29,97.11
2020-11-30 05:57:00,48.49,97.12
2020-11-30 06:12:00,48.36,97.06
2020-11-30 06:42:00,47.98,97.19
2020-11-30 06:57:00,48.36,97.18
2020-11-30 07:12:00,48.43,97.2
2020-11-30 07:27:00,48.56,97.22
2020-11-30 07:42:00,48.61,97.13
2020-11-30 07:57:00,48.99,97.2
2020-11-30 08:12:00,49.28,97.19
2020-11-30 08:27:00,49.44,97.27
2020-11-30 08:42:00,49.78,97.22
2020-11-30 08:57:00,49.78,97.19
2020-11-30 09:12:00,50.29,97.16
2020-11-30 09:27:00,51.03,97.36
2020-11-30 09:42:00,51.06,97.13
2020-11-30 09:57:00,51.51,97.29
2020-11-30 10:12:00,51.58,97.19
2020-11-30 10:42:00,51.75,97.21
2020-11-30 10:57:00,51.39,97.18
2020-11-30 11:12:00,51.46,97.29
2020-11-30 11:27:00,50.7,97.24
2020-11-30 11:42:00,50.43,97.27
2020-11-30 11:57:00,50.41,97.33
2020-11-30 12:12:00,50.58,97.28
2020-11-30 12:27:00,50.7,97.32
2020-11-30 12:42:00,50.95,97.33
2020-11-30 12:57:00,51.03,97.34
2020-11-30 13:12:00,51.19,97.29
2020-11-30 13:27:00,51.1,97.29
2020-11-30 13:57:00,49.55,97.33
2020-11-30 14:12:00,48.69,97.36
2020-11-30 14:27:00,48.29,97.34
2020-11-30 14:42:00,48.43,97.3
2020-11-30 14:57:00,48.56,97.3
2020-11-30 15:12:00,48.99,97.34
2020-11-30 15:27:00,48.85,97.36
2020-11-30 15:42:00,48.43,97.25
2020-11-30 15:57:00,48.06,97.3
2020-11-30 16:12:00,48.04,97.17
2020-11-30 16:27:00,48.09,97.27
2020-11-30 16:42:00,47.84,97.27
2020-11-30 16:57:00,47.26,97.23
2020-11-30 17:12:00,46.69,97.26
2020-11-30 17:27:00,46.33,97.3
2020-11-30 17:42:00,46.02,97.27
2020-11-30 17:57:00,46.06,97.35
2020-11-30 18:12:00,45.66,97.2
2020-11-30 18:27:00,45.52,97.24
2020-11-30 18:42:00,45.21,97.29
2020-11-30 18:57:00,44.73,97.23
2020-11-30 19:12:00,44.85,97.21
2020-11-30 19:27:00,44.35,97.28
2020-11-30 19:57:00,43.92,97.34
2020-11-30 20:12:00,43.84,97.22
2020-11-30 20:27:00,42.73,97.26
2020-11-30 20:42:00,41.63,97.26
2020-11-30 20:57:00,41.05,97.19
2020-11-30 21:12:00,40.5,97.24
2020-11-30 21:27:00,40.28,97.19
2020-11-30 21:42:00,39.88,97.24
2020-11-30 21:57:00,39.79,97.27
2020-11-30 22:12:00,39.45,97.28
2020-11-30 22:27:00,39.52,97.22
2020-11-30 22:42:00,39.58,97.21
2020-11-30 22:57:00,39.29,97.27
2020-11-30 23:12:00,39.29,97.24
2020-11-30 23:27:00,39.22,97.27
2020-11-30 23:42:00,39,97.16
2020-11-30 23:57:00,38.64,97.17
2020-12-01 00:12:00,38.62,97.22
2020-12-01 00:27:00,38.52,97.16
2020-12-01 00:42:00,38.7,96.89
2020-12-01 00:57:00,38.26,96.77
2020-12-01 01:12:00,38.35,96.62
2020-12-01 01:27:00,38.21,96.77
2020-12-01 01:42:00,37.62,99.27
2020-12-01 01:57:00,37.53,94.01
2020-12-01 02:12:00,37.85,96.83
2020-12-01 02:27:00,37.44,88.96
2020-12-01 02:42:00,37.24,91.83
2020-12-01 02:57:00,36.88,83.59
2020-12-01 03:12:00,36.36,91.59
2020-12-01 03:27:00,36.01,91.85
2020-12-01 03:42:00,36.05,89.3
2020-12-01 03:57:00,35.55,91.24
2020-12-01 04:12:00,35.46,90.41
2020-12-01 04:27:00,34.63,92.46
2020-12-01 04:42:00,34.56,91.49
2020-12-01 04:57:00,34.32,91.72
2020-12-01 05:12:00,34.3,90.33
2020-12-01 05:27:00,33.51,92.58
2020-12-01 05:42:00,33.06,94.49
2020-12-01 05:57:00,31.53,96.32
2020-12-01 06:12:00,30.43,98.41
2020-12-01 06:27:00,30,98.53
2020-12-01 06:42:00,29.59,99.89
2020-12-01 06:57:00,29.16,99.9
2020-12-01 07:12:00,29.19,99.9
2020-12-01 07:27:00,29.03,99.9
2020-12-01 07:57:00,29.59,99.9
2020-12-01 08:12:00,31.1,97.74
2020-12-01 08:27:00,32.52,94.9
2020-12-01 08:42:00,33.44,95.21
2020-12-01 08:57:00,34.57,93.51
2020-12-01 09:12:00,35.69,92.02
2020-12-01 09:27:00,36.68,89.35
2020-12-01 09:42:00,37.81,84.58
2020-12-01 09:57:00,38.97,76.72
2020-12-01 10:12:00,39.38,76.72
2020-12-01 10:27:00,39.9,66.02
2020-12-01 10:42:00,40.57,56.78
2020-12-01 10:57:00,40.98,57.02
2020-12-01 11:12:00,41.45,51.14
2020-12-01 11:27:00,41.68,53.91
2020-12-01 11:42:00,41.76,49.85
2020-12-01 11:57:00,42.53,49.7
2020-12-01 12:12:00,43.3,53.53
2020-12-01 12:27:00,43.36,49.21
2020-12-01 12:42:00,42.91,43.72
2020-12-01 12:57:00,42.91,47.7
2020-12-01 13:12:00,43.05,46.09
2020-12-01 13:27:00,43.09,48.44
2020-12-01 13:42:00,43.47,48.43
2020-12-01 13:57:00,43.43,48.34
2020-12-01 14:12:00,43.81,42.98
2020-12-01 14:27:00,44.13,44.15
2020-12-01 14:42:00,43.81,43.65
2020-12-01 14:57:00,43.79,42.71
2020-12-01 15:12:00,44.22,43.69
2020-12-01 15:27:00,43.77,42.94
2020-12-01 15:42:00,43.41,42.61
2020-12-01 15:57:00,43.21,43.63
2020-12-01 16:12:00,42.87,45.81
2020-12-01 16:27:00,42.17,48.79
2020-12-01 16:42:00,41.25,49.74
2020-12-01 16:57:00,39.99,51.35
2020-12-01 17:12:00,38.86,56.08
2020-12-01 17:27:00,37.53,61.75
2020-12-01 17:42:00,36.36,61.62
2020-12-01 17:57:00,35.38,65.42
2020-12-01 18:12:00,33.89,72.63
2020-12-01 18:27:00,32.79,78.68
2020-12-01 18:42:00,31.75,79.22
2020-12-01 18:57:00,30.88,81.24
2020-12-01 19:12:00,30.25,84.41
2020-12-01 19:27:00,29.66,86.81
2020-12-01 19:42:00,29.39,87.12
2020-12-01 19:57:00,29.01,89.61
2020-12-01 20:12:00,28.78,87.9
2020-12-01 20:42:00,32,69.62
2020-12-01 20:57:00,32.32,68.79
2020-12-01 21:12:00,32.59,66.76
2020-12-01 21:27:00,32.29,67.23
2020-12-01 21:42:00,32.9,63.14
2020-12-01 21:57:00,32.95,63.59
2020-12-01 22:12:00,32.85,62.85
2020-12-01 22:27:00,33.21,63.37
2020-12-01 22:42:00,33.71,62.9
2020-12-01 22:57:00,33.73,63.07
2020-12-01 23:12:00,33.64,62.75
2020-12-01 23:27:00,33.26,62.51
2020-12-01 23:42:00,32.32,66.33
2020-12-01 23:57:00,32.23,66.04
2020-12-02 00:12:00,32.2,64.02
2020-12-02 00:27:00,31.91,64.78
2020-12-02 00:42:00,31.62,63.64
2020-12-02 00:57:00,31.57,63.47
2020-12-02 01:12:00,31.32,63.2
2020-12-02 01:27:00,30.87,64.23
2020-12-02 01:42:00,31.01,64.67
2020-12-02 01:57:00,29.57,72.69
2020-12-02 02:12:00,28.51,79.32
2020-12-02 02:27:00,28.13,72.64
2020-12-02 02:42:00,27.84,76.77
2020-12-02 02:57:00,27.1,81.64
2020-12-02 03:12:00,26.91,82.21
2020-12-02 03:27:00,26.46,84.21
2020-12-02 03:42:00,25.95,84.92
2020-12-02 03:57:00,25.48,88.21
2020-12-02 04:12:00,24.69,87.13
2020-12-02 04:27:00,24.39,92.39
2020-12-02 04:42:00,24.48,90.76
2020-12-02 04:57:00,24.3,90.74
2020-12-02 05:12:00,23.88,91.13
2020-12-02 05:27:00,23.79,92.4
2020-12-02 05:42:00,23.63,93.51
2020-12-02 05:57:00,23.67,93.75
2020-12-02 06:12:00,23.79,90.12
2020-12-02 06:42:00,23.07,93.95
2020-12-02 06:57:00,23,93.79
2020-12-02 07:12:00,22.93,93.38
2020-12-02 07:27:00,22.95,96.13
2020-12-02 07:42:00,23.07,95.43
2020-12-02 07:57:00,23.31,95.04
2020-12-02 08:12:00,24.22,94.16
2020-12-02 08:27:00,25.66,95.31
2020-12-02 08:42:00,27.52,92.01
2020-12-02 08:57:00,31.6,76.92
2020-12-02 09:12:00,33.82,67.46
2020-12-02 09:27:00,35.8,62.89
2020-12-02 09:42:00,37.18,58.45
2020-12-02 09:57:00,39.33,49.31
2020-12-02 10:12:00,40.51,47.4
2020-12-02 10:27:00,41.32,44.31
2020-12-02 10:42:00,42.42,44.05
2020-12-02 10:57:00,43.47,42.41
2020-12-02 11:12:00,44.2,39.04
2020-12-02 11:27:00,45.97,37.47
2020-12-02 11:42:00,46.33,34.16
2020-12-02 11:57:00,47.68,34.34
2020-12-02 12:12:00,48.72,32.58
2020-12-02 12:42:00,50.47,29.91
2020-12-02 12:57:00,51.06,31.3
2020-12-02 13:12:00,51.69,29.24
2020-12-02 13:27:00,52.66,31.39
2020-12-02 13:42:00,54.05,29.08
2020-12-02 13:57:00,54.61,24.6
2020-12-02 14:12:00,54.73,25.78
2020-12-02 14:27:00,55.06,23.25
2020-12-02 14:42:00,55.78,22.22
2020-12-02 14:57:00,56.39,22.83
2020-12-02 15:12:00,56.64,24.59
2020-12-02 15:27:00,56.89,25.15
2020-12-02 15:42:00,56.79,24.14
2020-12-02 15:57:00,56.62,23.3
2020-12-02 16:12:00,56.71,27.1
2020-12-02 16:27:00,56.39,30.34
2020-12-02 16:42:00,54.16,32.28
2020-12-02 16:57:00,53.26,25.31
2020-12-02 17:12:00,51.82,35.13
2020-12-02 17:27:00,48.76,48.91
2020-12-02 17:42:00,45.27,54.52
2020-12-02 17:57:00,42.93,61.8
2020-12-02 18:12:00,40.87,64.84
2020-12-02 18:27:00,39.34,66.74
2020-12-02 18:42:00,37.31,72.92
2020-12-02 18:57:00,36.09,77.9
2020-12-02 19:12:00,35.2,77.14
2020-12-02 19:27:00,34.18,81.53
2020-12-02 19:42:00,33.35,83.89
2020-12-02 19:57:00,32.67,84.85
2020-12-02 20:12:00,32.11,86.36
2020-12-02 20:27:00,31.77,84.41
2020-12-02 20:42:00,31.06,84.28
2020-12-02 20:57:00,30.69,84.64
2020-12-02 21:12:00,30.38,86.73
2020-12-02 21:27:00,29.46,86.93
2020-12-02 21:42:00,29.21,90.09
2020-12-02 21:57:00,28.76,88.04
