datetime,tempF,humidity,tempC,year,month,day,hour,minute,moisturecontent
2020-01-23T13:26:00Z,66.92,31.9,19.400000000000002,2020,1,23,13,26,4.3550001679695605
2020-01-23T15:56:00Z,67.28,32.3,19.6,2020,1,23,15,56,4.461677122040623
2020-01-23T18:26:00Z,66.92,32.8,19.400000000000002,2020,1,23,18,26,4.477868511266507
2020-01-23T20:56:00Z,69.08,31.3,20.6,2020,1,23,20,56,4.583643816566028
2020-01-23T23:26:00Z,67.64,32.7,19.8,2020,1,23,23,26,4.570181910681101
2020-01-24T01:56:00Z,65.3,33.6,18.5,2020,1,24,1,56,4.350064105253306
2020-01-24T04:26:00Z,63.68,34.4,17.6,2020,1,24,4,26,4.221915446206277
2020-01-24T06:56:00Z,70.7,29.6,21.500000000000004,2020,1,24,6,56,4.566914051947453
2020-01-24T09:26:00Z,68.18,32.5,20.100000000000005,2020,1,24,9,26,4.622631809508873
2020-01-24T11:56:00Z,66.92,34.2,19.400000000000002,2020,1,24,11,56,4.668997045283981
2020-01-24T14:26:00Z,66.38,34.8,19.099999999999998,2020,1,24,14,26,4.667824319844519
2020-01-24T16:56:00Z,66.2,35.7,19.000000000000004,2020,1,24,16,56,4.760421125247929
2020-01-24T19:26:00Z,66.74,36,19.299999999999997,2020,1,24,19,26,4.885937694796267
2020-01-24T21:56:00Z,69.26,33.9,20.700000000000003,2020,1,24,21,56,4.993354450717847
2020-01-25T00:26:00Z,66.2,36.8,19.000000000000004,2020,1,25,0,26,4.9071007677625715
2020-01-25T02:56:00Z,64.04,37.4,17.800000000000004,2020,1,25,2,56,4.645085350663339
2020-01-25T05:26:00Z,62.6,38,17,2020,1,25,5,26,4.499584701831566
2020-01-25T07:56:00Z,69.98,33,21.1,2020,1,25,7,56,4.974982853519294
2020-01-25T10:26:00Z,67.82,36,19.9,2020,1,25,10,26,5.0609296227840614
2020-01-25T12:56:00Z,68,36.7,20,2020,1,25,12,56,5.189600540577194
2020-01-25T15:26:00Z,67.82,37.6,19.9,2020,1,25,15,26,5.28585982824113
2020-01-25T17:56:00Z,68,37.4,20,2020,1,25,17,56,5.288584747073217
2020-01-25T20:26:00Z,68.18,37.1,20.100000000000005,2020,1,25,20,26,5.2769120040855135
2020-01-25T22:56:00Z,67.1,37.2,19.499999999999996,2020,1,25,22,56,5.1084658711540705
2020-01-26T01:26:00Z,64.22,38.1,17.9,2020,1,26,1,26,4.760247232443149
2020-01-26T03:56:00Z,63.32,36.2,17.400000000000002,2020,1,26,3,56,4.390161120702602
2020-01-26T06:26:00Z,70.16,30.2,21.2,2020,1,26,6,26,4.579319084369145
2020-01-26T08:56:00Z,69.8,31.1,21,2020,1,26,8,56,4.6614363209298695
2020-01-26T11:26:00Z,67.64,34.4,19.8,2020,1,26,11,26,4.8077754656706375
2020-01-26T13:56:00Z,67.82,36.4,19.9,2020,1,26,13,56,5.117162174148328
2020-01-26T16:26:00Z,68.54,36.2,20.300000000000004,2020,1,26,16,26,5.209363936813732
2020-01-26T18:56:00Z,67.64,36.9,19.8,2020,1,26,18,56,5.1571777524199565
2020-01-26T21:26:00Z,67.82,37.3,19.9,2020,1,26,21,26,5.2436854147179295
2020-01-26T23:56:00Z,66.74,37.6,19.299999999999997,2020,1,26,23,56,5.103090481231656
2020-01-27T02:26:00Z,64.4,37,18.000000000000004,2020,1,27,2,26,4.650360852745175
2020-01-27T04:56:00Z,62.6,36.8,17,2020,1,27,4,56,4.3574925533526745
2020-01-27T07:26:00Z,69.62,32.6,20.900000000000002,2020,1,27,7,26,4.857991111973301
2020-01-27T09:56:00Z,67.82,35.1,19.9,2020,1,27,9,56,4.93440638221446
2020-01-27T12:26:00Z,67.28,36.5,19.6,2020,1,27,12,26,5.041833280324544
2020-01-27T14:56:00Z,67.46,37.6,19.699999999999996,2020,1,27,14,56,5.224316982724996
2020-01-27T17:26:00Z,67.82,38.6,19.9,2020,1,27,17,26,5.426441206651799
2020-01-27T19:56:00Z,69.08,37.6,20.6,2020,1,27,19,56,5.506230271657591
2020-01-27T22:26:00Z,68.72,37.9,20.4,2020,1,27,22,26,5.485894518144927
2020-01-28T00:56:00Z,66.2,38.8,19.000000000000004,2020,1,28,0,56,5.173791026880103
2020-01-28T03:26:00Z,64.22,39.1,17.9,2020,1,28,3,26,4.885188104685753
2020-01-28T05:56:00Z,68.36,33.7,20.2,2020,1,28,5,56,4.8213863074842385
2020-01-28T08:26:00Z,69.62,33.9,20.900000000000002,2020,1,28,8,26,5.051714683923158
2020-01-28T10:56:00Z,68.18,36.5,20.100000000000005,2020,1,28,10,56,5.191571109140735
2020-01-28T13:26:00Z,68.54,37.3,20.300000000000004,2020,1,28,13,26,5.367659526053927
2020-01-28T15:56:00Z,68.9,37.8,20.500000000000004,2020,1,28,15,56,5.503388525005559
2020-01-28T18:26:00Z,69.08,38.3,20.6,2020,1,28,18,26,5.608739877778876
2020-01-28T20:56:00Z,68.18,38.2,20.100000000000005,2020,1,28,20,56,5.433370311484277
2020-01-28T23:26:00Z,67.1,38.1,19.499999999999996,2020,1,28,23,26,5.2320577873916685
2020-01-29T01:56:00Z,64.76,37.5,18.200000000000003,2020,1,29,1,56,4.769478297502779
2020-01-29T04:26:00Z,63.14,36.7,17.3,2020,1,29,4,26,4.4243072051124495
2020-01-29T06:56:00Z,70.16,31.4,21.2,2020,1,29,6,56,4.7612787830858
2020-01-29T09:26:00Z,67.82,33.7,19.9,2020,1,29,9,26,4.737592452439524
2020-01-29T11:56:00Z,67.64,34.9,19.8,2020,1,29,11,56,4.877655923020501
2020-01-29T14:26:00Z,67.46,35.5,19.699999999999996,2020,1,29,14,26,4.932533321455781
2020-01-29T16:56:00Z,67.46,35.9,19.699999999999996,2020,1,29,16,56,4.988111161697535
2020-01-29T19:26:00Z,67.28,37.6,19.6,2020,1,29,19,26,5.1937789408274755
2020-01-29T21:56:00Z,68.9,36.9,20.500000000000004,2020,1,29,21,56,5.37235546488638
2020-01-30T00:26:00Z,66.38,38.1,19.099999999999998,2020,1,30,0,26,5.110462832933225
2020-01-30T02:56:00Z,64.76,38.4,18.200000000000003,2020,1,30,2,56,4.883945776642845
2020-01-30T05:26:00Z,63.14,38.8,17.3,2020,1,30,5,26,4.677469197775558
2020-01-30T07:56:00Z,69.44,33.6,20.8,2020,1,30,7,56,4.978014654445122
2020-01-30T10:26:00Z,68,35.3,20,2020,1,30,10,26,4.991632127585149
2020-01-30T12:56:00Z,67.46,36.5,19.699999999999996,2020,1,30,12,56,5.071477922060169
2020-01-30T15:26:00Z,67.64,37.2,19.8,2020,1,30,15,26,5.1991060268298765
2020-01-30T17:56:00Z,68.54,37.6,20.300000000000004,2020,1,30,17,56,5.410831050392163
2020-01-30T20:26:00Z,68,38,20,2020,1,30,20,26,5.373428352641237
2020-01-30T22:56:00Z,69.44,36.2,20.8,2020,1,30,22,56,5.3632181693724235
2020-01-31T01:26:00Z,66.2,37.9,19.000000000000004,2020,1,31,1,26,5.053780410277213
2020-01-31T03:56:00Z,63.86,38,17.7,2020,1,31,3,56,4.691602531028159
2020-01-31T06:26:00Z,62.78,36.8,17.1,2020,1,31,6,26,4.383646294983459
2020-01-31T08:56:00Z,70.88,31.9,21.599999999999998,2020,1,31,8,56,4.950285870863915
2020-01-31T11:26:00Z,66.92,35.1,19.400000000000002,2020,1,31,11,26,4.791865388580928
2020-01-31T13:56:00Z,66.2,36.4,19.000000000000004,2020,1,31,13,56,4.853762715939065
2020-01-31T16:26:00Z,65.84,36.4,18.800000000000004,2020,1,31,16,26,4.796851699719051
2020-01-31T18:56:00Z,65.48,37.6,18.6,2020,1,31,18,56,4.896800654347121
2020-01-31T21:26:00Z,69.26,34.3,20.700000000000003,2020,1,31,21,26,5.052273087304487
2020-01-31T23:56:00Z,67.46,36,19.699999999999996,2020,1,31,23,56,5.0020056217579745
2020-02-01T02:26:00Z,64.58,37.7,18.1,2020,2,1,2,26,4.76655532209623
2020-02-01T04:56:00Z,63.86,36.5,17.7,2020,2,1,4,56,4.506407694277047
2020-02-01T07:26:00Z,69.98,31.3,21.1,2020,2,1,7,26,4.718695858034969
2020-02-01T09:56:00Z,68.72,34.2,20.4,2020,2,1,9,56,4.950332256479063
2020-02-01T12:26:00Z,67.64,36.2,19.8,2020,2,1,12,26,5.059345112130148
2020-02-01T14:56:00Z,68.36,37.5,20.2,2020,2,1,14,56,5.365044110702044
2020-02-01T17:26:00Z,68.9,38.2,20.500000000000004,2020,2,1,17,26,5.561625440614085
2020-02-01T19:56:00Z,68.18,39.6,20.100000000000005,2020,2,1,19,56,5.632499066355427
2020-02-01T22:26:00Z,68.36,39.3,20.2,2020,2,1,22,26,5.622566228015742
2020-02-02T00:56:00Z,66.02,39.8,18.9,2020,2,2,0,56,5.27594322988494
2020-02-02T03:26:00Z,63.86,40,17.7,2020,2,2,3,26,4.9385289800296395
2020-02-02T05:56:00Z,62.96,38.4,17.200000000000003,2020,2,2,5,56,4.6016724450098145
2020-02-02T08:26:00Z,69.8,33.2,21,2020,2,2,8,26,4.976195686651822
2020-02-02T10:56:00Z,67.82,36.3,19.9,2020,2,2,10,56,5.103104036307261
2020-02-02T13:26:00Z,68.18,37.4,20.100000000000005,2020,2,2,13,26,5.319582451557904
2020-02-02T15:56:00Z,68.9,38.2,20.500000000000004,2020,2,2,15,56,5.561625440614085
2020-02-02T18:26:00Z,69.62,38.5,20.900000000000002,2020,2,2,18,26,5.7371980923611074
2020-02-02T20:56:00Z,68.72,41.1,20.4,2020,2,2,20,56,5.949083501207295
2020-02-02T23:26:00Z,67.64,40.8,19.8,2020,2,2,23,26,5.702245319748895
2020-02-03T01:56:00Z,66.02,40.5,18.9,2020,2,3,1,56,5.368736201264826
2020-02-03T04:26:00Z,64.04,40.3,17.800000000000004,2020,2,3,4,26,5.005265765554346
2020-02-03T06:56:00Z,69.26,34.4,20.700000000000003,2020,2,3,6,56,5.0670027464511485
2020-02-03T09:26:00Z,68,36.1,20,2020,2,3,9,26,5.104756935009175
2020-02-03T11:56:00Z,68.36,37.7,20.2,2020,2,3,11,56,5.393657679292456
2020-02-03T14:26:00Z,69.62,38.9,20.900000000000002,2020,2,3,14,26,5.796805345268756
2020-02-03T16:56:00Z,71.6,39.2,21.999999999999996,2020,2,3,16,56,6.225009295201963
2020-02-03T19:26:00Z,71.42,39.5,21.900000000000002,2020,2,3,19,26,6.236635658480165
2020-02-03T21:56:00Z,71.06,40.2,21.700000000000003,2020,2,3,21,56,6.2743994331551685
